dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
superconduct,5,6,0.0001,0.0001,6,1024,70,0.0001,Pr-QQ,0.0820191262563799
superconduct,19,6,0.0,0.0001,8,1024,70,0.001,Bw-MQ,0.0971778507758725
superconduct,3,6,0.0,0.0001,6,8192,70,0.0001,Bw-QQ,0.0803720230311976
superconduct,7,6,0.0,0.0001,10,8192,70,0.0001,SQ,0.0799602558267959
superconduct,3,6,0.0,0.0001,6,8192,70,0.0001,Bw-SQ,0.0814447424569687
superconduct,40,7,0.0,0.0001,5,4096,70,0.001,FP,0.078879399036112
superconduct,40,7,0.0,0.0001,5,4096,70,0.001,Po-MQ,0.0802703183075851
superconduct,40,7,0.0,0.0001,5,4096,70,0.001,Po-QQ,0.0892833238251863
superconduct,40,7,0.0,0.0001,5,4096,70,0.001,Pr-MQ,0.0809173157257164
superconduct,45,7,0.0,0.0001,10,2048,70,0.0001,Pr-QQ,0.0805940392584649
superconduct,40,7,0.0,0.0001,5,4096,70,0.001,Bw-MQ,0.0958868894448695
superconduct,4,7,0.0,0.0001,5,256,70,0.0001,Bw-QQ,0.083287125382134
superconduct,40,7,0.0,0.0001,5,4096,70,0.001,SQ,0.0805395514926845
superconduct,40,7,0.0,0.0001,5,4096,70,0.001,Bw-SQ,0.080842370122178
superconduct,43,8,0.0001,0.0001,5,1024,70,0.0001,FP,0.0816060730280107
superconduct,43,8,0.0001,0.0001,5,1024,70,0.0001,Po-MQ,0.0820796054962556
